"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Stone, Gavin","694813","425","11.2",32.5,"114.7","88.2","77.1","90.8","86.4","449","161","400","154",36.2,"27",6.4,4.7
"Flaherty, Jack","656427","413","14",36.1,"117.5","88.4","77.4","91.9","85.2","448","173","395","144",35.9,"32",7.7,4.9
"Glasnow, Tyler","607192","317","9.3",32.2,"117.6","89","78.1","93.6","85.9","439","151","398","127",40.1,"27",8.5,5.2
"Buehler, Walker","621111","246","10.8",36.2,"111","88.3","77.4","92.8","85","442","164","397","93",37.8,"17",6.9,4.9
"Yamamoto, Yoshinobu","808967","240","8.4",34.2,"112","88.4","76.2","92.9","85.2","429","154","396","99",41.3,"20",8.3,5.4
"Knack, Landon","689017","196","21.1",35.7,"111.3","90.6","80.5","95.2","85.1","476","199","402","86",43.9,"20",10.2,7
"Miller, Bobby","676272","174","10.4",34.5,"115.6","91.5","81.4","95.9","87.7","437","168","399","83",47.7,"20",11.5,7.8
"Hudson, Daniel","543339","170","18.1",30.6,"113","90.4","79.9","93.8","87.6","452","176","399","84",49.4,"21",12.4,8.3
"Kopech, Michael","656629","152","16.9",34.2,"110.3","89","78.9","91.7","85.8","433","184","408","62",40.8,"16",10.5,5.7
"Phillips, Evan","623465","147","11.9",36.1,"117.7","85.9","74.2","89","83.4","462","169","410","48",32.7,"9",6.1,3.9
"Vesia, Alex","681911","140","30",29.3,"113.3","87.5","76.2","93.8","82","462","192","402","49",35,"17",12.1,6.5
"Grove, Michael","675627","139","10.5",30.9,"116.7","87.6","76","92.7","84.9","409","148","389","47",33.8,"13",9.4,6
"Banda, Anthony","607455","139","11.9",30.9,"117","88.3","76.7","92.3","85.7","408","154","388","54",38.8,"9",6.5,4.3
